,,Report,Report,Report,Not used,Not used,Not used,Not used,Not used,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Report,Report,Report,Report
Row types,,Main Category,Sub Category No,Sub Category,"Tier 0 (Questionnaire only, but Report)",Tier 1 (Zoom questionnaire),Tier 2 (Tier 1 + Whatsapp tour),Tier 3 (Tier 1 + visit sample check),Tier 4 (Tier 1 + visit full check),Often overlooked,Notes,Sub Notes,Full description,Question no,Survey Questions,Answer Options (either Yes or No  otherwise we have a number of options and they chose whcih option,Example Answer,Example Comment Asnwer ,Typical Result Example Score( will use this as test data later to work on the answer scoring algorithm ),Weighting Factor for each question to be used later ,Questionnaire Motivation/Learning Point,"Example reason for low score 
(red)
Scale 1 - 10 - Red = 1, 2, 3, 4","Example reason for medium score
(orange)
Scale 1 - 10 - Orange = 5, 6, 7, 8","Example reason for high score
(green)
Scale 1 - 10 - Green = 8, 9, 10",Report Action
Database definition,Description,Main Category,Sub Category No,Sub Category Name,Service Tier 0 indicator,Service Tier 1 indicator,Service Tier 2 indicator,Service Tier 3 indicator,Service Tier 4 indicator,Commonly missed compliance points,Brief auditor notes,Specific requirements detail,Comprehensive area description,Unique question identifier,Question text for landlord,Answer choices with scores,Sample answer for testing,Sample comment for testing,Test score for algorithm,Question importance multiplier,Educational context for question,Critical risk scenario examples,Partial compliance examples,Best practice examples,Recommended actions by score
Database definition,Database Field Name,cat,sub_cat_ref,sub_cat_name,tier_0,tier_1,tier_2,tier_3,tier_4,often_overlooked,notes,sub_notes,full_description,question_no,survey_question,answer_options,example_answer,example_comment,example_score,weight_factor,motivation,red_score_example,orange_score_example,green_score_example,report_action
Database definition,Is it used in the questionnaire,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Database definition,Is it used in the report,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Database definition,Is it used for calculations,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Database definition,Is it used in admin create questionnaire,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Database definition,Is it used in the salesman form,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Database definition,Is it shown in the client form,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Questions,,Documentation,1,Certificates,,Asking,Visual sample,Visual sample,Visual (all checked inc. version number),"Are there any gaps, e.g. two days late on gas certificate.",Are they up to date? Do they go back 10 years?,"Gas Safety (annual), EICR (5 years), PAT, EPC","This covers all mandatory safety and compliance certificates including Gas Safety Certificate (annually), Electrical Installation Condition Report (EICR - every 5 years), Portable Appliance Testing (PAT) for landlord-supplied appliances, and Energy Performance Certificate (EPC) with minimum E rating. All certificates must be current, readily accessible, and have a clear system for tracking renewal dates.",1.1,"Can you provide copies of your current Gas Safety Certificate, EICR, and EPC for this property? How do you track renewal dates for these certificates?",Yes or No (scores 10),Yes,All certificates given to tenant,10,,"If you don't have them, you can't legally evict a tenant",Any single certificate is missing or out of date. No renewal tracking system in place.,"Most certificates are present but close to expiry. Informal renewal tracking (e.g., manual diary).",All certificates are current and stored digitally. Proactive alert system is in place for renewals.,Red: Immediately book all required safety inspections and obtain valid certificates. Orange: Digitize all current certificates and set up reliable reminder system. Green: Continue maintaining excellent digital record-keeping.
Questions,,Documentation,1,Certificates,,,,,,,,,,1.2,Do you track renewal dates for these certificates?,"Option 1 scores 10 I track renewal dates, either by maintaining a spreadsheet, using 3rd party software, keeping a record on paper or electronic notes/diary system.  Option 2 (scores 5) I track them but I'm not completely confident that I won't miss an update    Option 3 (scores 1) I don't track renewal dates",Option 2 chosen,I do not do quality checks so maybe there might be a mistake somewhere,5,1,It's critically important to track renewal dates as if there is a gap a tenant can use this fact to stop an eviction.,,,,
Questions,,Documentation,1,Certificates,,,,,,,,,,1.3,"Is there a copy of the 'How To Rent' leaflet available for your tenants at your properties, and is it the latest version? ",Yes or No (Yes scores 10 and No Scores 1),Yes,"Yes, i do give out and i do check the revision number is the latest version",10,,Your local council's Housing Officer will ask about the revision number and if not up to date they will block any attempts at evicting a tenant.,,,,
Questions,,Documentation,2,Tenant Manuals & Documents,,Asking,Visual sample,Visual sample,Visual (all checked inc. version number),How To Rent: up-to-date rev number?,"Checking that they are up to date, that it covers what it needs to cover (safety procedures, reporting issues etc), and how well it communicates to tenants","How to Rent guide, Property manual, Safety procedures","This evaluates the clarity and comprehensiveness of information provided to tenants at tenancy start, including the government How to Rent guide, detailed property manual covering safety procedures, emergency contacts, maintenance reporting instructions, and shared space rules.",2.1,Do you provide tenants with a property manual? What information does it include? ,Option 1 (scores 10) It includes a full information on how tofind the stop cock in case of a flood. Option 2(scores 5) Yes but only insturction manuals  but no location of stop cock. Option 3 (scores 1)no manual given to tenants,Option 1 chosen,yes i have a full property maintenance manual,10,,,No tenant manual provided. How to Rent guide not issued at start of tenancy.,"Basic manual exists but is outdated or missing key information (e.g., fire safety procedures).","Comprehensive, professional digital manual provided and regularly updated.",Red: Create comprehensive tenant manual and provide How to Rent guide. Orange: Review and update existing manual with missing information. Green: Consider adding video tour or welcome pack.
Questions,,Documentation,2,Tenant Manuals & Documents,,,,,,,,,,2.2,Can you confirm that you provide all new tenants with the latest version of the How to Rent guide?,"Option 1 (scores 10) I serve the ""How to Rent"" guide and i do give them the latest copy and i have checked it is the correct revison. Option 2 (scores 5)  I serve it but i have not checked it is the latest. Option 3 (scores 1) i have not given a ""how to rent"" guide",Option 1 chosen,Yes but i need to check it is the latest,5,,,,,,
Questions,,Documentation,2,Tenant Manuals & Documents,,,,,,,,,,2.3,Do you have the check in guide avaiable that contains all relelvant information such as Fire Safety and others,Option 1 (scores 10) Yes  Option 2 (scores 1) No,Yes,checked against your checklist Ref 1 and all good,10,,,,,,
Questions,,Documentation,,Council Required Documents,,Asking,Visual sample,Visual sample,Visual (all checked inc. version number),Floor plan - do they require smoke detector locations?,"Additional documents like floor plans, fire detector locations etc. Fire assessment report if required.","HMO licence, Floor plans, Fire detector layouts, Fire assessment report","This assesses whether the property has the correct HMO licence for its size and location (mandatory, additional, or selective licensing). It includes adherence to all specific conditions attached to the licence, such as minimum room sizes, provision of amenities, and any additional documents required by the local council.",3.1,Is this property licensed as an HMO? Can you provide a copy of the licence?,"Option 1 (scores 10) Yes, I have a valid HMO licence and can provide a copy. Option 2 (scores 5) Yes, but I need to check if it is current. Option 3 (scores 1) No, I do not have an HMO licence.",Option 1 chosen,"Yes, here is my current HMO licence valid until 2026",10,2,Operating without a valid HMO licence is illegal and can result in unlimited fines and prosecution.,Operating unlicensed HMO where licence is required. Significant breaches of licence conditions.,Licence obtained but minor conditions are not fully met. Documentation is not well-organized.,"Current licence, all conditions are met and documented. Proactive relationship with the local council.",Red: Immediately apply for HMO licence from local council. Orange: Conduct full audit against current licence conditions. Green: Continue proactive council engagement.
Questions,,Documentation,,Tenant Responsibilities,,Asking,Visual sample,Visual sample,Visual (all checked inc. version number),,"Tenants' cleaning rotas, bins rota, landlord's cleaning rota etc - is ","Cleaning rotas, Bin rotas, Shared space responsibilities","This covers the documentation and communication of tenant responsibilities for maintaining shared areas and following house procedures. This includes clear rotas for cleaning, waste management, and other shared responsibilities that are documented and regularly updated.",4.1,Do you have documented cleaning rotas and tenant responsibilities for shared areas?,"Option 1 (scores 10) Yes, I have clear documented rotas that are regularly updated and followed. Option 2 (scores 5) Yes, but they are not always followed consistently. Option 3 (scores 1) No, I do not have formal rotas.",Option 2 chosen,I have rotas but tenants do not always follow them,5,1,Clear tenant responsibilities prevent disputes and maintain property standards.,No documented tenant responsibilities. No cleaning or bin rotas in place.,Basic rotas exist but are not consistently followed or updated. Limited documentation.,"Clear, documented responsibilities with regularly updated rotas that are consistently followed.",Red: Create and implement clear tenant responsibility documentation and rotas. Orange: Formalize existing rotas and improve compliance monitoring. Green: Continue excellent management of tenant responsibilities.
Questions,,Documentation,,Tenant Critical Information,,Asking,Visual sample,Visual sample,Visual (all checked inc. version number),,"Fire escape route, and emergency phone numbers. Is there evidence to prove tenants have access to critical information?","Fire escape routes, Emergency contact numbers, Safety procedures","This assesses the provision and accessibility of critical safety information to tenants, including clearly marked fire escape routes, prominently displayed emergency contact numbers, and evidence that tenants have received and understood this vital safety information.",5.1,Are fire escape routes clearly marked and emergency contact numbers prominently displayed?,"Option 1 (scores 10) Yes, fire escape routes are clearly marked and emergency contacts are prominently displayed. Option 2 (scores 5) Partially - some information is displayed but not comprehensive. Option 3 (scores 1) No, this information is not clearly displayed.",Option 1 chosen,Fire escape routes are clearly marked on each floor and emergency numbers are by the front door,10,2,Clear emergency information can save lives and is a legal requirement for HMOs.,No clear fire escape route information. Emergency contacts not displayed. No evidence tenants have critical information.,Basic safety information provided but not prominently displayed or regularly updated.,Comprehensive safety information clearly displayed and regularly communicated to all tenants.,Red: Immediately display fire escape routes and emergency contacts prominently. Orange: Improve visibility and accessibility of safety information. Green: Continue excellent safety information management.
Questions,,Documentation,,Fire Safety Documentation,,Asking,Visual sample,Visual sample,Visual (all checked inc. version number),,,"Fire Risk Assessment, Alarm testing records, Fire equipment checks","This covers comprehensive fire safety documentation including current Fire Risk Assessment (FRA), records of regular alarm testing, fire equipment maintenance logs, and ensuring all landlord-supplied furniture meets fire safety standards.",6.1,Do you have a current Fire Risk Assessment and records of regular alarm testing?,"Option 1 (scores 10) Yes, I have a current FRA and maintain detailed records of weekly alarm tests. Option 2 (scores 5) I have an FRA but alarm testing records are incomplete. Option 3 (scores 1) No, I do not have a current FRA or testing records.",Option 2 chosen,I have the FRA but I am not consistent with recording the alarm tests,5,2,Fire safety documentation is legally required and essential for tenant safety and insurance claims.,No Fire Risk Assessment conducted. No records of alarm testing or fire equipment checks.,FRA exists but is outdated. Alarm testing is infrequent and not consistently logged.,Current FRA in place and reviewed annually. Alarms tested weekly and all tests logged.,Red: Immediately commission professional Fire Risk Assessment and implement alarm testing schedule. Orange: Update FRA and formalize testing procedures. Green: Continue excellent fire safety management.
